Certus1	
3476099917	0.366353653868 0.730664397203 0.576120246961 314.714324951172 0.916693593400 -0.389594359553 -0.088820554064 -264.690582275391 0.159555182046 0.560665473937 -0.812524688990 -1714.752319335937 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.367008623925 0.728083389201 0.578963943898 314.264617919922 0.916289204735 -0.390259232195 -0.090065670329 -263.996490478516 0.160370705711 0.563553289455 -0.810363453454 -1715.052612304687 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.367868789288 0.725878261791 0.581182676038 313.857452392578 0.915909370171 -0.390776422663 -0.091672313832 -263.288482666016 0.160569547237 0.566034041865 -0.808593151066 -1715.147949218750 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099918	0.367158995087 0.723688577142 0.584353587857 313.510345458984 0.916150343288 -0.389975383853 -0.092670105659 -262.358093261719 0.160819217823 0.569380402985 -0.806190508426 -1714.758300781250 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099918	0.367127330612 0.722355700649 0.586020276832 313.509063720703 0.916182567094 -0.389666764176 -0.093644629586 -262.046142578125 0.160707892998 0.571281064483 -0.804867019135 -1714.737670898437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099918	0.366231805790 0.721401438556 0.587753544334 313.844604492187 0.916543554165 -0.388738556772 -0.093969398197 -261.835540771484 0.160692805522 0.573116304888 -0.803564262100 -1714.857421875000 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099918	0.365464248357 0.721171148362 0.588513430555 313.925750732422 0.916918545681 -0.387800370743 -0.094187329499 -261.767700195312 0.160300541981 0.574040980438 -0.802982371549 -1714.539062500000 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099918	0.362981221242 0.721919774935 0.589131964490 314.691070556641 0.918300716338 -0.384368254523 -0.094788392163 -261.455474853516 0.158014010138 0.575406711355 -0.802457904895 -1713.813720703125 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099918	0.360713814119 0.721183284992 0.591422195857 315.769561767578 0.919330113814 -0.381817832003 -0.095117217158 -261.381408691406 0.157218593491 0.578022328819 -0.800732477952 -1713.657226562500 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099918	0.360764440435 0.728079409209 0.582880255630 315.704284667969 0.919977083826 -0.380506283410 -0.094112345210 -260.808776855469 0.153268339043 0.570188865351 -0.807089508094 -1711.929809570312 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
